"filename", "language", "C#", "JSON", "comment", "blank", "total"
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\.vs\ProjectSettings.json", "JSON", 0, 3, 0, 0, 3
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\.vs\VSWorkspaceState.json", "JSON", 0, 10, 0, 0, 10
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\ActivateTeleportationRay.cs", "C#", 17, 0, 4, 5, 26
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\AddObjectToCart.cs", "C#", 10, 0, 45, 3, 58
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\AnimateHandOnInput.cs", "C#", 17, 0, 0, 4, 21
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Audio\AudioHandler.cs", "C#", 55, 0, 18, 10, 83
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Audio\PlayBackgroundAudio.cs", "C#", 41, 0, 5, 10, 56
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\BoundsExtensions.cs", "C#", 23, 0, 6, 5, 34
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\ExitSetup.cs", "C#", 28, 0, 0, 6, 34
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\GazeDurationTracker.cs", "C#", 67, 0, 1, 12, 80
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\GrabObject.cs", "C#", 14, 0, 0, 2, 16
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\GraphicEffects.cs", "C#", 42, 0, 1, 8, 51
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\InfoProvider.cs", "C#", 52, 0, 0, 5, 57
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Interfaces\IInfoProvider.cs", "C#", 8, 0, 0, 1, 9
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Items\ItemInfo.cs", "C#", 85, 0, 8, 19, 112
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Logger\FileCreator.cs", "C#", 86, 0, 0, 14, 100
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\PickUp.cs", "C#", 25, 0, 0, 3, 28
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Pojo\JsonData.cs", "C#", 17, 0, 0, 3, 20
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Pojo\NutritionalInfo.cs", "C#", 15, 0, 0, 2, 17
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\Pojo\Status.cs", "C#", 12, 0, 0, 1, 13
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\ShoppingCart\IShoppingCart.cs", "C#", 12, 0, 0, 1, 13
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\ShoppingCart\ShoppingCart.cs", "C#", 96, 0, 99, 22, 217
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\ShoppingCart\ShoppingCartInterface.cs", "C#", 28, 0, 7, 4, 39
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\UpperText.cs", "C#", 12, 0, 2, 5, 19
"d:\MateriiAn4\Licenta\Bachelor\Assets\Scripts\XRPushButton.cs", "C#", 212, 0, 27, 54, 293
"Total", "-", 974, 13, 223, 199, 1409